0,202,203,204
1001,1001,1002,1001
1002,1003,1003,1003
1002,1006,1004,1005
1004,1007,1006,1006
1004,1008,1007,1007
1005,1011,1009,1009
1005,1012,1010,1010
1008,1014,1011,1011
1008,1015,1013,1014
1009,1018,1014,1015
1010,1020,1015,1016
1012,1021,1020,1018
1012,1023,1021,1019
1013,1024,1023,1020
1013,1025,1025,1023
1016,1026,1026,1024
1016,1027,1028,1026
1017,1028,1029,1027
1017,1031,1030,1028
1017,1033,1031,1029
1018,1035,1036,1030
1019,1036,1037,1031
1019,1038,1039,1035
1021,1039,1040,1036
1022,1040,1041,1040
1022,1042,1042,1042
1022,1043,1043,1043
1024,1044,1046,1044
1025,1045,1047,1047
1027,1046,1048,1048
1029,1047,1049,1049
1030,1049,1053,1050
1032,1050,1056,1051
1032,1051,1057,1054
1032,1052,1058,1056
1033,1054,1059,1058
1033,1060,1060,1059
1034,1067,1066,1060
1034,1068,1067,1065
1034,1070,1068,1066
1035,1071,1071,1067
1037,1072,1072,1069
1037,1073,1073,1072
1038,1074,1074,1073
1038,1076,1075,1074
1039,1077,1076,1076
1041,1078,1077,1077
1041,1079,1079,1078
1044,1080,1080,1079
1045,1081,1083,1080
1045,1083,1086,1082
1046,1087,1087,1083
1048,1088,1088,1084
1050,1090,1090,1085
1051,1091,1092,1086
1052,1092,1093,1087
1052,1093,1095,1088
1053,1094,1096,1089
1053,1096,1097,1090
1054,1097,1098,1096
1055,1098,1100,1097
1055,1099,0,1098
1055,1100,0,1099
1056,0,0,0
1057,0,0,0
1057,0,0,0
